,bhk,area,region,price_in_cr
37770,1,412,Andheri East,1.36
37783,4,3306,Dadar East,8.4
37784,3,2403,Dadar East,6.3
37786,2,603,Thane West,1.21
37789,2,725,Thane West,1.46
37795,2,1200,Andheri West,3.8
37798,3,902,Andheri West,2.92
37799,2,693,Andheri West,1.92
37801,1,375,Andheri West,1.15
37802,1,441,Andheri West,1.22
37832,3,1079,Thane West,2.26
37833,3,920,Thane West,1.97
37835,2,796,Thane West,1.67
37836,2,828,Thane West,1.77
37859,1,685,Powai,1.37
37884,1,450,Kandivali West,1.28
37885,2,669,Kandivali West,1.95
37887,1,580,Kandivali West,1.3
37888,2,796,Kandivali West,1.75
37889,2,796,Kandivali West,1.8
37890,3,1000,Kandivali West,2.75
37901,2,850,Malad East,1.75
37967,1,520,Thane West,1.05
37969,2,808,Thane West,1.64
37971,4,1753,Thane West,3.96
37972,3,1324,Thane West,2.68
37974,3,991,Thane West,2.03
37975,2,663,Thane West,1.37
37976,2,761,Thane West,1.55
37977,3,944,Thane West,1.95
37978,2,632,Thane West,1.3
37979,3,1500,Powai,4.0
37985,2,1050,Mulund East,2.2
37987,2,1475,Prabhadevi,4.2
37988,2,1275,Prabhadevi,3.75
37989,3,1802,Lower Parel,5.5
38000,1,384,Mira Road East,1.08
38021,1,320,Chembur,0.6990000000000001
38048,1,600,Jogeshwari West,1.2
38067,2,1000,Jogeshwari West,2.25
38068,2,1299,Andheri West,4.65
38071,4,3400,Worli,13.2
38072,3,2850,Dadar East,7.3
38073,3,1802,Lower Parel,5.4
38077,4,1763,Kandivali East,4.04
38078,2,761,Kandivali East,1.81
38084,2,797,Kanjurmarg,1.98
38087,2,1500,Prabhadevi,5.1
38088,2,1388,Lower Parel,4.92
38089,2,1388,Lower Parel,5.0
38090,4,2400,Prabhadevi,9.0
38091,3,1770,Lower Parel,6.6
38092,3,1650,Prabhadevi,5.5
38093,3,1950,Dadar West,6.75
38094,3,2403,Dadar West,6.6
38100,3,1208,Borivali East,3.38
38101,3,1076,Borivali East,3.01
38102,3,999,Borivali East,2.79
38103,3,1002,Borivali East,2.8
38104,3,1235,Borivali East,3.45
38105,3,1162,Borivali East,3.25
38106,3,1129,Borivali East,3.16
38107,2,889,Borivali East,2.48
38108,3,998,Borivali East,2.79
38109,2,715,Borivali East,2.0
38110,2,747,Borivali East,2.09
38115,1,419,Malad East,1.07
38118,3,960,Kandivali East,2.48
38119,1,459,Andheri East,1.21
38120,2,915,Andheri East,2.4
38121,1,454,Andheri East,1.2
38122,2,747,Andheri East,1.9
38123,5,7500,Napeansea Road,45.0
38124,4,2800,Prabhadevi,10.5
38129,1,675,Powai,1.4
38130,3,1500,Goregaon West,3.75
38131,2,623,Mulund West,1.73
38135,2,780,Kandivali West,1.6
38136,2,840,Kandivali West,1.75
38139,4,3600,Worli,12.9
38140,4,2400,Prabhadevi,9.9
38149,2,950,Santacruz East,2.09
38150,2,900,Santacruz East,2.1
38151,2,950,Santacruz East,2.1
38152,2,950,Santacruz East,2.09
38158,1,430,Goregaon West,1.05
38159,1,430,Goregaon West,1.05
38160,1,430,Goregaon West,1.05
38179,2,762,Powai,2.0
38180,3,1500,Powai,3.4
38181,5,3855,Parel,19.0
38183,4,2450,Juhu,12.0
38184,4,2450,Juhu,12.5
38199,5,7200,Napeansea Road,60.0
38202,2,1100,Borivali West,3.75
38204,3,1102,Kandivali East,2.9
38205,2,837,Kandivali East,2.18
38206,4,2050,Vikhroli,8.0
38208,2,792,Kandivali West,2.0
38209,2,792,Kandivali West,2.0
38210,2,792,Kandivali West,2.0
38214,1,353,Kandivali West,0.81
38215,1,353,Kandivali West,0.81
38216,1,353,Kandivali West,0.81
38217,1,353,Kandivali West,0.81
38223,3,2013,Borivali East,4.15
38225,3,1879,Borivali East,3.87
38226,2,1201,Borivali East,2.6
38228,2,800,Kandivali East,2.5
38229,2,800,Kandivali East,2.5
38230,2,800,Kandivali East,2.5
38231,2,749,Kandivali East,2.25
38232,2,749,Kandivali East,2.25
38233,2,749,Kandivali East,2.25
38239,2,1250,Powai,3.75
38246,4,1549,Sanpada,3.8
38247,3,1161,Sanpada,2.35
38252,3,1100,Kandivali East,2.45
38253,2,780,Kandivali East,1.9
38254,2,1267,Dadar West,4.72
38257,2,750,Ville Parle East,2.5
38258,2,698,Kandivali East,1.71
38260,2,722,Borivali West,2.23
38261,1,502,Borivali West,1.6
38262,1,502,Borivali West,1.6
38263,1,474,Borivali West,1.46
38264,1,353,Kandivali West,0.81
38266,1,433,Malad East,0.94
38267,1,433,Malad East,0.94
38268,1,310,Malad East,0.71
38269,1,310,Malad East,0.71
38270,1,310,Malad East,0.71
38271,1,310,Malad East,0.71
38272,1,467,Kandivali East,1.24
38274,1,497,Kandivali East,1.32
38275,1,497,Kandivali East,1.32
38276,3,1243,Matunga,6.9
38277,1,508,Kanjurmarg,1.17
38281,2,990,Kandivali East,1.99
38282,2,990,Kandivali East,1.99
38294,2,670,Powai,1.98
38300,2,1000,Powai,3.15
38301,2,900,Matunga,3.25
38303,1,402,Kandivali East,1.1
38304,3,4500,Powai,9.5
38313,1,467,Kandivali East,1.24
38324,3,1313,Powai,2.75
38325,1,400,Andheri West,1.15
38327,3,1545,Powai,3.25
38334,3,1450,Powai,2.98
38343,2,1125,Borivali East,2.56
38356,3,1046,Ghatkopar East,3.6
38371,4,2019,Thane West,4.2
38383,3,1550,Kanjurmarg,3.1
38385,3,1380,Mulund East,2.78
38388,3,2727,Dadar East,7.26
38391,1,401,Kandivali East,0.95
38394,1,434,Kandivali East,1.05
38395,1,434,Kandivali East,1.05
38396,1,434,Kandivali East,1.05
38397,1,401,Kandivali East,0.95
38398,1,401,Kandivali East,0.95
38399,1,401,Kandivali East,0.95
38405,3,1545,Powai,3.25
38411,3,2000,Powai,8.25
38413,1,687,Andheri East,1.5
